Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"BW LPG";SGXZ69436764;BWLPG;"Oslo Børs";NOK;197.00;198.50;194.10;198.30;" 16:25";CET;417706;82367969.30;198.30;
"BW OFFSHORE LTD";BMG1738J1247;BWO;"Oslo Børs";NOK;48.90;49.40;47.40;47.75;" 16:25";CET;346318;16713642.09;47.75;
BYGGMA;NO0003087603;BMA;"Euronext Growth Oslo";NOK;21.20;22.40;21.20;22.40;" 13:31";CET;8327;182784.80;22.40;
CADELER;DK0061412772;CADLR;"Oslo Børs";NOK;67.70;69.05;66.90;67.70;" 16:25";CET;812581;54999169.05;67.70;
CAMBI;NO0010078850;CAMBI;"Euronext Growth Oslo";NOK;20.90;22.90;20.80;21.20;" 16:25";CET;47890;1021270.10;21.20;
"CAPITAL TANKERS";MHY1096C1093;CAPT;"Euronext Growth Oslo";NOK;123.30;123.30;120.02;121.56;" 16:25";CET;113820;13771130.04;121.56;
"CAPSOL TECHNOLOGI";NO0010923121;CAPSL;"Oslo Børs";NOK;5.10;5.10;4.39;4.65;" 16:25";CET;13928;65413.20;4.65;
"CAVENDISH HYDROGEN";NO0013219535;CAVEN;"Oslo Børs";NOK;8.50;8.50;8.08;8.50;" 16:25";CET;25934;216784.76;8.50;
"CIRCIO HOLDING";NO0013033795;CRNA;"Oslo Børs";NOK;11.56;11.56;9.79;9.97;" 16:28";CET;11958696;124116097.43;9.97;
"CIRCIO HOLDING TR";NO0013711523;CRNAS;"Oslo Børs";NOK;0.69;0.69;0.53;0.551;" 16:28";CET;1644254;940342.86;0.551;
"CLOUDBERRY CLEAN";NO0010876642;CLOUD;"Oslo Børs";NOK;12.72;13.12;12.72;13.00;" 16:25";CET;250306;3252360.74;13.00;
CMB.TECH;BE0003816338;CMBTO;"Oslo Børs";NOK;140.00;140.40;138.00;140.40;" 16:25";CET;356779;49751685.80;140.40;
"CODELAB CAPITAL";NO0013483503;CODE;"Euronext Growth Oslo";NOK;2.93;2.93;2.70;2.70;" 16:25";CET;43094;124631.35;2.70;
"CONSTELLATION OIL";NO0013597419;COSH;"Euronext Growth Oslo";NOK;142.00;142.00;139.00;140.00;" 16:25";CET;86117;12102417.00;140.00;
CONTEXTVISION;SE0014731154;CONTX;"Oslo Børs";NOK;3.60;3.69;3.41;3.68;" 16:25";CET;23843;84406.65;3.68;
